paper_number,paper_identifier,source_json_file,experimental_record_count,records_with_experiment_level_source_evidence,records_with_paper_level_provenance_only
506,https://doi.org/10.1021/acsami.9b16589,thermal-runaway-triggered-by-plated-lithium-on-the-anode-after-fast-charging_extracted.json,9,9,0
507,https://doi.org/10.1021/acsaem.1c02473,thermal-safety-and-runaway-blocking-mechanism-for-lithium-ion-batteries-through-introducing-nanoscale-magnesium_extracted.json,4,4,0
508,https://doi.org/10.1149/2754-2734/ad1a72,Torelli_2024_ECS_Adv._3_010501_extracted.json,5,5,0
509,https://doi.org/10.1021/acs.chas.5c00142,toxicity-and-explosive-hazards-of-thermal-runaway-gases-in-aged-batteries-under-different-states-of-charge_extracted.json,4,4,0
510,https://doi.org/10.3390/vehicles3030029,vehicles-03-00029-v2_extracted.json,7,7,0
511,https://doi.org/10.1149/2.0531816jes,Wang_2018_J._Electrochem._Soc._165_A3828_extracted.json,2,2,0
512,https://doi.org/10.1149/1945-7111/ad9351,Weber_2024_J._Electrochem._Soc._171_110516_extracted.json,9,9,0
513,https://doi.org/10.3390/wevj14100270,wevj-14-00270_extracted.json,1,1,0
514,https://doi.org/10.3390/wevj15040147,wevj-15-00147_extracted.json,4,4,0
515,https://doi.org/10.3390/wevj16030153,wevj-16-00153_extracted.json,6,6,0
516,https://doi.org/10.1149/2.0461809jes,Zhong_2018_J._Electrochem._Soc._165_A1925_extracted.json,9,9,0
517,https://doi.org/10.1590/0001-3765202420230648,xtracted.json,4,4,0
